rank,layer_a,layer_b,gap,mean_kl,max_kl,median_kl,p95_kl
215,6,22,16,1.613484303898462,7.98572660596638,1.502507048481843,6.038643963181689
216,1,9,8,1.6773023268150962,6.342530068240363,1.4764900171945377,5.8714043038122465
217,14,23,9,1.699419308046304,8.45784401071949,1.5494921927440053,5.359796557348078
218,2,18,16,1.7811232256320737,8.875990516092974,1.591708853663677,6.201717740847633
219,1,14,13,1.8328820356975772,7.5454205182321195,1.7038213665896902,6.486441197016585
220,3,19,16,1.8543702013591592,10.049125828962747,1.7227896340066378,5.836320770261716
221,2,17,15,1.898586517889059,10.001596280259509,1.744310344275789,6.934068718858224
222,1,10,9,1.9252932121805428,10.062018493470601,1.7745970404256033,5.786297602144436
223,2,19,17,1.967922228876206,11.89023037104155,1.764657649974129,6.684398707946949
224,3,20,17,1.9689245757104368,10.592658003259707,1.8425043482529708,6.213074210034354
225,1,19,18,1.9866482474093712,10.883546369937294,1.7863672890207913,6.7331208442218875
226,1,13,12,2.109686627332771,8.925183895528676,1.975149688031854,7.301591655061287
227,5,22,17,2.1717413029569235,10.132944928252165,1.939834151537538,7.50254698070155
228,1,20,19,2.1725208142685752,12.11654766669429,2.056623577462459,7.699550642589493
229,1,21,20,2.179497504397672,12.375567038460181,1.9810907311441295,8.122355124638553
230,2,20,18,2.183360578304589,10.589017873181598,2.0262278400518827,7.186947849172291
231,4,22,18,2.218061512072502,9.569016723775553,2.103035756979572,7.307418088907713
232,3,21,18,2.2709466376198084,12.023502110251346,2.1318756465435875,7.02151139561134
233,2,21,19,2.2904776046751136,12.161429237161485,2.1707614436339844,7.984397654097792
234,1,17,16,2.290832542711587,11.513779866677087,2.0887844344725965,7.130124130645957
235,1,22,21,2.2950727715448274,11.298534027199974,2.0435779666104277,7.728530550834655
236,13,23,10,2.298062684688265,14.732764015512052,2.1595902186076534,7.933456025966779
237,2,16,14,2.3192139415457667,11.978513106627185,2.113071448881236,7.8281460366140525
238,1,18,17,2.375988199149209,10.117409564392538,2.2207370439200647,8.403400588761444
239,10,23,13,2.3802838014649383,14.276918373583396,2.2761819241188275,8.558277202240458
240,6,23,17,2.475526834996214,12.657527129244755,2.351287789149177,9.065710569654923
241,1,23,22,2.5114640791460836,14.590321624024552,2.3720604876697324,8.647294129081335
242,12,23,11,2.5145688607806367,16.034756827756862,2.3786842430760062,8.9089174376312
243,5,23,18,2.5205123821375413,13.867541199109882,2.349451972513547,8.955557469334554
244,3,22,19,2.5371998858894265,13.454464170616378,2.5098034430090004,7.533685035761933
245,7,23,16,2.5737523356059677,13.84316444532788,2.406687098591283,8.658646809443042
246,2,23,21,2.577518435795302,16.18724968548736,2.4068402132470283,9.096229397849806
247,0,1,1,2.602877485381346,11.277159163103356,2.367945588998933,8.019789926931587
248,9,23,14,2.643978542453828,14.208005624514296,2.5168231320230285,10.275603212624144
249,2,22,20,2.667842563954825,13.388042270589168,2.55896187235721,8.584527416578243
250,11,23,12,2.6737072691231134,15.4800102388644,2.5498969561584044,9.408259590114392
251,0,20,20,2.6907007772642806,14.773063543216203,2.549097253680336,8.862642982217352
252,3,23,20,2.728951010624563,16.776385789034965,2.4693131378938595,9.281060036384561
253,0,22,22,2.7973883441082292,14.406909817872839,2.6891753107036074,9.349263014668495
254,8,23,15,2.845928551030327,15.426308459721227,2.7513970786907467,9.875038655811817
255,0,23,23,2.9761953709722926,17.106029215463053,2.6971666152345533,11.140412487055725
256,0,15,15,3.4013514895598473,14.582568440249773,3.150370001790708,11.45131319913409
257,0,21,21,3.6771962960383413,17.179760581359055,3.492825278464863,10.714194193594004
258,4,23,19,3.7017445813418366,16.287659110353623,3.483530587324091,10.375725507257636
259,0,13,13,3.9140892383789905,22.407623462504834,3.523089400791819,12.4618247714365
260,0,18,18,3.9383069963413417,19.020044723109642,3.575098345641292,12.543549441798092
261,0,3,3,3.954213716240891,16.621967284292396,3.5894985589607167,13.772790455402284
262,1,16,15,3.9709476606783496,19.141105325447658,3.6302708844671407,11.729217664246637
263,0,17,17,4.333624348204617,17.936983368652562,4.045017476642078,13.508375960690271
264,0,6,6,4.369933686204741,21.45089745841492,4.120823515884741,16.004180659909448
265,0,4,4,4.421803055767405,19.498798492762944,4.000892917565922,16.062077625768893
266,0,16,16,4.581680070650136,27.123671482769396,4.083472590495313,16.699611284430738
267,0,11,11,4.6218673669267565,24.175873922763092,4.371618574308383,15.815063915091436
268,0,19,19,4.710173126734806,23.5191752367473,4.479407586109699,14.645602451199425
269,0,2,2,4.820582029508538,19.536145599870938,4.605377974998834,14.554808600259946
270,0,10,10,4.860497166619625,24.52146748142471,4.651071128429516,15.588577469702257
271,0,14,14,5.039801504135237,21.99181436530845,4.7742144871043095,14.629341919541218
272,0,5,5,5.138901633385315,22.20821581217736,4.820017999289311,16.812579694415586
273,0,9,9,5.152256275015686,24.885748303359772,4.800527066009338,19.188724461984446
274,0,12,12,5.604586661151206,31.58483316354565,5.334748661211549,18.717527092846044
275,0,7,7,6.362762104197685,27.126125669071268,5.875617753226091,21.284771242268405
276,0,8,8,8.661410227336189,40.97178132682325,8.164847370054199,28.372644417668504
